day,word,meaning
DAY 16,implicit,"① 함축적인, 암시적인, 은연중의② 절대적인, 맹목적인, 무조건적인"
DAY 16,misprision,"① (공무원의) 직무 태만, 부정행위② 범죄 은닉"
DAY 16,jaundiced,① 황달에 걸린② 편견을 가진
DAY 16,rob,"① ~에서 강탈[약탈]하다; 훔치다, 도둑질하다② ~에서 …을 빼앗다[잃게 하다]"
DAY 16,argument,"논의, 논쟁; 말다툼"
DAY 16,bigotry,"편견, 편협"
DAY 16,lament,"① 슬퍼하다, 비탄하다; 애도하다 ② 후회하다, 애석히 여기다, 안타까워하다 ① 비탄, 한탄; 애도② 비가, 애가, 만가"
DAY 16,connotation,"① 언외의 의미, 함축② <논리학> 내포"
DAY 16,insert,"① 끼워 넣다, 끼우다, 삽입하다② 적어 넣다, 써 넣다"
DAY 16,fecund,"① 다산의; (땅이) 비옥한, 기름진② 상상력[창조력]이 풍부한"
DAY 16,demonstrate,"① 논증[증명]하다; 실물로 선전하다 ② (감정·의사 등을) 밖으로 나타내다, 드러내다③ 시위 운동을 하다, 데모를 하다"
DAY 16,necrology,"① 사망자 명부, 사망자 명단② 사망 기사[광고]"
DAY 16,arbitrary,"① 임의의, 제멋대로의② 전횡적인, 독단적인"
DAY 16,gear,"① 기어, 톱니바퀴 (장치)② (특정 목적을 위한) 장비, 도구③ 의복① 기어를 넣다; (장치·도구 등을) 설치하다② 맞게 하다, 조정하다"
DAY 16,unanimous,만장일치의
DAY 16,telepathy,"텔레파시, 정신 감응(능력)"
DAY 16,condense,① (기체가) 응결되다; 응결시키다② (사상·문장 따위를) 요약하다
DAY 16,dementia,<의학> 치매(癡呆)
DAY 16,scrupulous,"① 빈틈없는, 꼼꼼한② 양심적인"
DAY 16,behoove,(~하는 것이) 의무이다; ~할 필요가 있다
DAY 16,latitude,"① 위도② (견해·사상·행동 등의) 폭, (허용) 범위, 자유"
DAY 16,tranquil,"고요한, 평온한"
DAY 16,omniscient,"모든 것을 다 아는, 전지(全知)의, 박식한"
DAY 16,avenge,"복수하다, 원수를 갚다, 앙갚음하다"
DAY 16,eerie,"으스스한, 기분 나쁜, 무시무시한"
DAY 16,paradigm,"① 사고의 틀,패러다임(특정 영역·시대의 지배적인 과학적 대상 파악 방법)② 모범, 범례, 실례"
DAY 16,cantankerous,"성미가 고약한, 심술궂은, 불평을 달고 사는"
DAY 16,painstaking,"수고를 아끼지 않는, 근면한, 성실한"
DAY 16,hedonism,쾌락[향락]주의
DAY 17,quaint,"① 기묘한, 기이한, 이상한② 예스런 멋이 있는"
DAY 17,epicure,"미식가, 식도락가"
DAY 17,autocratic,독재자의; 독재적인; 독재[전제] 정치의
DAY 17,proponent,"제안자, 발의자; 옹호자, 지지자"
DAY 17,obtain,"① (특히 노력 끝에) 얻다, 구하다, 입수하다② (규칙·시스템·관습 등이) 존재하다, 유행하다, 통용되다"
DAY 17,concave,오목한
DAY 17,sibling,"(보통 pl.) 형제, 자매; 의형제형제의, 자매의"
DAY 17,rapacious,강탈하는; 탐욕스러운
DAY 17,intervene,"① 끼어들다, 개입하다; 간섭하다, 훼방 놓다② 중재하다"
DAY 17,bombastic,"과장된, 허풍떠는"
DAY 17,decline,"① 거절[사양]하다② (아래로) 기울다, ③ 쇠퇴하다, 감퇴하다; (인기·물가 등이) 떨어지다; 감소하다 ① 내리막 경사② 쇠퇴, 퇴보; (물가의) 하락"
DAY 17,impertinent,"① 주제넘은, 뻔뻔스러운, 무례한② 무관계한, 적절하지 않은"
DAY 17,scatter,"흩어지다, 흩어버리다; 분산시키다, 쫓아버리다"
DAY 17,vertex,"① 정점, 절정② <천문학> 천정(天頂)"
DAY 17,aberrant,"정도(正道)를 벗어난, 비정상적인, 일탈적인 "
DAY 17,interact,"상호 작용하다, 서로 영향을 주다; 교류하다"
DAY 17,sly,"① 교활한, 간교한, 음흉한② 남모르게 살짝 하는, 은밀한③ 장난꾸러기의, 장난기 있는"
DAY 17,casuistry,"궤변, 속임수, 견강부회"
DAY 17,torment,"고통, 고뇌괴롭히다; 고문하다"
DAY 17,legitimate,"합법적인, 정당한; 정통의; 적출의"
DAY 17,second-hand,"① 중고의, 고물의; 중고품 매매의② 간접적인, 전해들은간접적으로"
DAY 17,percussion,"① 충격, 충돌② (충돌에 의한) 진동, 격동③ 타악기 연주; 타악기"
DAY 17,relapse,"① 되돌아가다, 다시 빠지다, 퇴보하다[into] ② (병이) 재발하다① (원상태·습관으로) 되돌아감, 퇴보② (병의) 재발"
DAY 17,manumit,(농노·노예를) 석방[해방]하다
DAY 17,diabolical,"① 끔찍한, 불쾌한② 사악한, 악마 같은; 잔인한, 극악무도한"
DAY 17,spillover,"① 넘침, 과잉② (어떤 일의) 여파"
DAY 17,gainsay,"부정하다, 반대하다"
DAY 17,barrack,"(보통 pl.) 막사, 병영"
DAY 17,sapient,"매우 지적인, 현명한, 박식한"
DAY 17,pillage,"약탈, 강탈; 약탈품, 노획품약탈하다"
DAY 17,desolate,"① 황량한, 황폐한② 사는 사람이 없는; 쓸쓸한, 외로운, 고독한① 황폐하게 하다② 외롭게 하다"
DAY 17,various,"여러 가지의, 가지각색의, 다양한"
DAY 17,flatter,"① ~에게 아첨하다; 치켜세워 ~시키다 ② 우쭐대다, 득의만면해지다③ (실제보다) 돋보이게 하다"
DAY 17,economical,"경제적인; 실속 있는; 절약하는, 검약한"
DAY 17,tavern,"① 선술집② 여인숙, 여관"
DAY 17,assure,"① 보증하다, 보장하다② 안심시키다, 확신시키다"
DAY 17,colossal,"거대한, 엄청난"
DAY 17,nepotism,"친족 등용, 족벌주의"
DAY 17,weld,"① 용접하다, 밀착[접착]시키다② 결합시키다[뭉치게 하다], 합치다"
DAY 17,adversity,"역경; 불행, 불운"
DAY 17,mandatory,"의무적인, 강제적인"
DAY 17,high-end,"최고급인, 최첨단의, 최고의, 고성능의"
DAY 17,emulate,"① 모방하다, 흉내내다, 본받다② 우열을 다투다, 경쟁하다"
DAY 17,logomachy,"① 언쟁, 말다툼, 입씨름, 설전② 글자 맞추기 놀이"
DAY 17,cheat,"① 속이다, 기만하다; 사기 치다② 바람을 피우다 ① 속임수, 사기; 부정행위② 사기꾼, 협잡꾼"
DAY 17,parochial,"① (편협한) 지역주의의② (생각 따위가) 좁은, 편협한"
DAY 17,determination,"① 결심, 결의, 투지, 결단(력)② (공식적인) 결정; <법> (쟁의 따위의) 판결, 해결, 종결③ <물리> 측정(법)"
DAY 17,accumulate,"(서서히) 모으다, 축적하다"
DAY 17,mien,"행실, 태도, 몸가짐, 처신"
DAY 17,far-fetched,"억지스러운, 믿기지 않는"
DAY 18,clumsy,서투른; 어색한
DAY 18,decry,"헐뜯다, 공공연히 비난하다"
DAY 18,introduction,"① 도입, 제출② (사람) 소개; 첫 경험,  개론, 입문서, 안내서③ 도입부; <음악> 서곡, 전주곡"
DAY 18,viable,"① 실행 가능한② (태아·신생아가) 살아갈 수 있는, 생명력 있는③ (나라가) 독립[존속]할 수 있는; (경제가) 성장[발전]할 수 있는"
DAY 18,backfire,"역효과를 낳다, 엉뚱한 결과를 낳다"
DAY 18,underpinning,"① (벽 따위의) 지주, 받침대② (종종 pl.) 기초, 기반, 지지"
DAY 18,tender,"① 상냥한, 다정한② (고기 따위가) 부드러운, 약한제출하다, 제공하다, 신청하다"
DAY 18,scapegoat,"희생양, 남의 죄를 대신 지는 사람~에게 죄[책임]를 전가하다"
DAY 18,doublespeak,"얼버무리는 말, 애매모호한 말, 사실을 호도하기 위한 말"
DAY 18,quantify,"수량화하다, 양을 재다"
DAY 18,perigee,<천문학> 근지점(近地點)(달·행성이 지구에 가장 가까워지는 지점)
DAY 18,squeeze,"① 짜다, 압착하다; 꽉 잡다, 꼭 껴안다② 수분을 짜다, ③밀어[집어]넣다; 비집고 들어가다짜기; 꽉 쥐기; 꼭 껴안기; 무엇에서 조금 짜낸 액체"
DAY 18,aisle,(좌석의 사이·건물·열차 내 등의) 통로; 복도
DAY 18,naive,"① 순진한, 천진난만한, 때 묻지 않은, 소박한② 고지식한, 생각이 얕은, 잘 속아 넘어가는"
DAY 18,detached,"① 분리된, 고립된② 초연한, 무관심한③ 사심 없는, 공정한"
DAY 18,incite,"선동[조장]하다; 격려하다, 고무하다"
DAY 18,plaintive,"애처로운, 구슬픈"
DAY 18,hemorrhage,출혈(다량으로) 출혈하다
DAY 18,snatch,"① 와락 붙잡다, 움켜쥐다, 잡아[낚아]채다, 강탈하다② (식사 따위를) 급히 먹다; 뜻밖에 얻다; (기회를 보고) 급히 덤벼들다"
DAY 18,affable,"상냥한, 붙임성 있는, 친절한"
DAY 18,massacre,대량학살 대량학살하다
DAY 18,poll,"투표; 득표집계, 투표결과, 투표수; 선거인 명부; 여론 조사① 투표하다② 여론 조사를 하다"
DAY 18,effulgent,"찬란히 빛나는, 광휘 있는, 눈부신"
DAY 18,recapitulate,"요점을 되풀이하여 말하다, 요약[개괄]하다"
DAY 18,opium,아편
DAY 18,meditate,명상[숙고]하다
DAY 18,ransom,"(포로·유괴된 사람·노획품 등의) 몸값, 배상금"
DAY 18,tantamount,"동등한, 같은, 상당하는[to]"
DAY 18,load,"① 적하(積荷), (특히 무거운) 짐② 부담; 근심, 걱정③ (차 등의) 적재량, 한 차, 한 짐① 싣다, (사람을) 태우다② (총에) 탄환을 재다"
DAY 18,concoct,"① (수프·음료 등을) 혼합하여 만들다② (이야기·변명 등을) 지어내다, (계획·음모 등을) 꾸미다"
DAY 18,skeptical,"의심 많은, 회의적인"
DAY 18,formula,"① 공식, 식② 정해진 문구③ (일정한) 방식, 방법; 판에 박힌 방식[절차]④ 제조법; (약 등의) 처방(전); (요리의) 조리법"
DAY 18,hazardous,위험한; 모험적인
DAY 18,saunter,"산책하다, 어슬렁거리다; 빈둥거리다"
DAY 18,monotheism,"일신교(一神敎), 유일신교"
DAY 18,elucidate,"해명[설명]하다, 명료하게 하다"
DAY 18,passionate,"열정적인, 열렬한, 정열적인"
DAY 18,choreography,"안무, 연출"
DAY 18,atone,"(죄 등을) 속죄[보상]하다, 벌충하다[for]"
DAY 18,global,"① 공 모양의, 구형(球形)의② 세계적인, 전 세계의, 지구상의, 지구 전체의③ 전반적인, 전체적인, 포괄적인"
DAY 18,falsify,① (서류·문서 등을) 위조[변조]하다② ~의 거짓[틀림]을 입증하다
DAY 18,bivouac,"야영, 야영지야영하다, 노숙하다"
DAY 18,odd,"① 이상한, 기묘한; 색다른② 홀수의"
DAY 18,somersault,"① 재주넘기, 공중제비② (의견·태도 등의) 180도 전환, 전향재주넘기[공중제비]를 하다"
DAY 18,ethos,(어떤 문화의 근본적) 특질; (사회·집단의) 기풍; (한 민족·시대의) 풍조 
DAY 18,immediate,"① 아주 가까이의, 바로 이웃한② 즉각적인, 즉시의, 곧 일어나는③ (관계가) 직접적인(영향을 미치는), 직속의; 직계의=direct; lineal"
DAY 18,thread,"① 실, 꼰 실; (실같이 가느다란) 줄기[가닥]② (이야기 등의) 줄거리, 맥락"
DAY 18,accommodate,"① 숙박시키다, 수용하다② 적응하다③ 조절하다; (모순된 것을) 조화시키다; (분쟁을) 조정하다"
DAY 18,coffin,"관(棺), 널"
DAY 18,dissension,"의견 차이; 불화; (pl.) 알력, 분쟁"
DAY 19,rebuke,"비난하다, 꾸짖다[for]"
DAY 19,genuine,"① 진짜의, 진품의② 진실한, 성실한③ 순종의"
DAY 19,chunk,① (장작 등의) 큰 나무 토막; (치즈·빵·고기 등의) 큰 덩어리 ② 상당한 양[액수]
DAY 19,inadvertent,"① 고의가 아닌, 우연의② 부주의한, 소홀한, 경솔한"
DAY 19,brood,"① 알을 품다, 보금자리에 들다② 곰곰이 생각하다[on, over]한 배 병아리; (동물의) 한 배 새끼"
DAY 19,stenography,"속기(速記); 속기술, 속기법"
DAY 19,malignant,① 악의[적의] 있는② (병이) 악성의
DAY 19,plenary,"① 충분[완전]한; 무조건의, 절대적인② 전원 출석의"
DAY 19,slim,"① 호리호리한, 가는, 가냘픈② 얼마 안 되는, 불충분한; 빈약한"
DAY 19,taunt,"비웃음, 모욕, 조롱비웃다"
DAY 19,embark,"① 승선하다, 탑승하다; 출항하다② 착수하다, 시작하다, 종사하다[on]"
DAY 19,daring,"대담한, 용감한대담성, 용기"
DAY 19,nod,"① (고개를) 끄덕이다; (승낙 등을) 끄덕여 나타내다② 졸다, 꾸벅꾸벅 졸다③ 방심하다, 무심코 실수하다"
DAY 19,disposition,"① 배열, 배치② 처분, 매각, 정리③ 성향, 기질"
DAY 19,shoal,"① 모래톱, 여울목; 얕은 곳② (물고기의) 떼, 무리얕아지다; 여울이 되다"
DAY 19,inherit,"① 상속하다, 물려받다② (성질·특성 등을) 물려받다, 유전하다"
DAY 19,far-reaching,"(영향 등이) 멀리까지 미치는, 광범위한; (계획 등이) 원대한"
DAY 19,charge,"① 비난하다② (의무·책임 등을) 지우다, 과(課)하다① 책임, 담당② 비난; (경찰의) 기소, 고발③돌격, 급습"
DAY 19,effrontery,"뻔뻔스러움, 철면피, 염치없음"
DAY 19,solid,"고체, 고형물① 고체의, 고형의② 견고한, 튼튼한③ <명사 앞에만 씀> 순수한(다른 물질이 섞이지 않은)"
DAY 19,long-winded,"숨이 긴; 길고 지루한, 장황한"
DAY 19,acquired,"① 취득한, 획득한② 습득한; 후천적인"
DAY 19,haven,"① 항구, 정박소② 안식처, 피난처"
DAY 19,percolate,"① 거르다, 여과하다② 스며들다, 서서히 퍼지다"
DAY 19,terrific,"① 굉장한, 대단한; 훌륭한② 격심한, 맹렬한; 무서운"
DAY 19,warrant,"① (체포·수색 등을 허락하는) 영장② 정당한 이유, 근거③보증, 보증이 되는 것, 정당화하다"
DAY 19,passive,"① 수동의, 수동적인, 수세의② 무저항의, 거역하지 않는, 순종하는, 소극적인③활동적이 아닌, 활기가 없는"
DAY 19,javelin,던지는 창; (the ∼) 창던지기 (경기)
DAY 19,smuggle,"밀수입[밀수출]하다; 밀항하다 =bootleg, sneak; stow away"
DAY 19,exact,"① 정확한, 정밀한② 꼼꼼한; 엄격한, 가혹한① 요구하다② (지급·항복·실행 등을) 강요[강제]하다, (세금 따위를) 강제로 거두다"
DAY 19,afflict,"괴롭히다, 피해를 입히다"
DAY 19,out-of-date,"구식인, 시대에 뒤떨어진, 낡은"
DAY 19,vomit,"토하다, 게우다구토; 분출; 구토물"
DAY 19,circumstance,"(보통 pl.) 상황, 환경; 주위의 사정"
DAY 19,lesion,"외상(外傷); (조직·기능의) 장애, 손상; 병변"
DAY 19,merger,"(기업의) 합병, 합동; 흡수 합병"
DAY 19,bestial,"짐승의, 짐승 같은, 흉포한, 야만스러운"
DAY 19,deficiency,"① 결핍, 부족② 결함, 결점"
DAY 19,apologize,"① 사과하다, 용서를 빌다, 사죄하다② 변호하다, 변명하다, 해명하다"
DAY 19,illusion,"① 환상, 환각② 오해, 착각"
DAY 19,cognitive,인식[인지]의; 인식력이 있는
DAY 19,velocity,속도
DAY 19,flabbergast,"소스라쳐 놀라게 하다, 어리둥절케 하다, 당황하게 하다"
DAY 19,deft,"교묘한, 능숙한, 손재주[솜씨]가 좋은.=adroit, proficient, skillful"
DAY 19,appendix,"① 부속물, 부가물; 부록② <해부> 충수(蟲垂), 맹장"
DAY 19,boundary,"경계, 경계선; (보통 pl.) 한계, 범위, 영역"
DAY 19,pallid,"(특히 아파서 얼굴이) 창백한, 핼쑥한"
DAY 19,responsible,"① 책임이 있는, 책임을 져야 할② ~의 원인이 되는, ~을 초래하는[for]③(사람이) 신뢰할 수 있는"
DAY 19,muzzle,"① 입마개, 재갈② 코끝, 주둥이③ 총구(銃口)① 재갈물리다② (남을) 말 못하게 하다, 입을 틀어막다; 언론을 억압하다"
DAY 19,scrap,"조각, 단편[of]폐기하다, 버리다"
DAY 20,accelerate,"가속하다, 촉진시키다; 빨라지다"
DAY 20,tenuous,"① 가느다란; (공기 등이) 희박한, 엷은② 미약한, 빈약한, 보잘것없는"
DAY 20,mayhem,"① 신체 상해, 폭력② 대혼란, 소동, 아수라장, 난장판③ 명예훼손, 중상"
DAY 20,deceit,"속임수, 사기, 기만, 책략"
DAY 20,commodious,"넓은, 널찍한"
DAY 20,reconcile,① 화해시키다② 조화[일치]시키다
DAY 20,kernel,"① (쌀·보리 등의) 낟알, (과실의) 인(仁)② 핵심, 요점"
DAY 20,sedulous,"근면한, 부지런한, 꾸준히 공부하는"
DAY 20,chance,"우연; 기회; 승산, 가능성, 가망우연한, 요행의"
DAY 20,bulge,"부풀다, 불룩해지다; 부풀리다① 부푼 것, 돌출② (수량의) 일시적 증가, 팽창, 급증"
DAY 20,misconception,"오해, 잘못된 생각"
DAY 20,defy,"① 무시하다, 문제시하지 않다② (권위․법률․규칙 등에) 반항[저항, 거역]하다"
DAY 20,persistent,"① 고집하는, 완고한, 버티는② 영속하는, 끊임없는"
DAY 20,liable,"① 책임이 있는[for, to]② ~하기 쉬운; ~할 것 같은[to]"
DAY 20,specialize,"전공하다, 전문적으로 다루다[in] "
DAY 20,frolic,"들떠서 떠들다, 야단법석을 떨다; 장난치다장난, 들떠서 떠들어댐, 야단 법석; 유쾌한 모임"
DAY 20,desirable,"① 바람직한, 호감 가는, 가치 있는② (사람이) 성적 매력이 있는"
DAY 20,belated,"늦은, 뒤늦은"
DAY 20,aggressive,"① 침략적인, 공격적인② 적극적인"
DAY 20,parliament,국회; (영국 또는 영국의 자치령·캐나다의) 의회
DAY 20,obstreperous,"① 떠들썩한, 시끄러운② (사람·행동 등이) 사납게 날뛰는, 다루기[감당하기] 힘든"
DAY 20,statistics,"① <복수취급> 통계, 통계표, 통계 자료② <단수취급> 통계학"
DAY 20,inactive,"활동하지 않는, 활발하지 않은; 게으른"
DAY 20,uproot,① 뿌리째 뽑다② (악습을) 근절[절멸]시키다
DAY 20,nasty,"① 불쾌한, 싫은; 몹시 불결한, 더러운; 메스꺼운 ② (성격·행동 등이) 못된, 고약한, 심술궂은③ 험악한, 거친④ 추잡한, 음란한"
DAY 20,askew,"비스듬히[비스듬한], 비뚤어지게[비뚤어진], 일그러져[일그러진] "
DAY 20,impel,"① 재촉하다, 몰아대다, 강제하여 ~하게 하다② 추진시키다, 앞으로 나아가게 하다"
DAY 20,hangover,"① 잔존물, 유물② 숙취(宿醉); (약의) 부작용③ 후유증, 여파"
DAY 20,exponential,"① 설명[해설]자의; 대표적 인물의, 전형의② (증가율 등이) 기하급수적인, 급격한③ <수학> 지수(指數)의"
DAY 20,gauge,"① 측정하다② (사람·행동 등을) 평가[판단]하다① 표준 치수, 규격② 척도, 표준"
DAY 20,conglomerate,집합체; (거대) 복합기업
DAY 20,include,"포함하다, 포함시키다"
DAY 20,encyclopedia,"백과사전, 전문사전"
DAY 20,sift,"① 체로 치다, 거르다② 면밀히 조사하다, 심문하다"
DAY 20,perfunctory,"마지못한, 형식적인, 겉치레의"
DAY 20,fidgety,"안절부절못하는, 조바심 내는"
DAY 20,emerge,"① 나타나다, 출현하다② (빈곤·낮은 신분 등에서) 벗어나다, 빠져나오다"
DAY 20,taper,"① 점점 가늘어지다, 뾰족하게 하다② (빗발 등이) 차차 약해지다, 점점 줄어들다[줄이다][off]"
DAY 20,severe,"① 극심한, 심각한② 가혹한, 혹독한"
DAY 20,vanguard,"(군대의) 전위, 선봉; 선구자"
DAY 20,obliterate,"(흔적을) 없애다, 지우다; (문자 등을) 삭제하다"
DAY 20,tempest,"① 사나운 비바람, 폭풍우, 폭설② 야단법석, 대소동, 동란"
DAY 20,marginal,"① 가장자리의, 경계의, 변두리의② 미미한, 중요하지 않은, 하찮은"
DAY 20,stillborn,"① 사산(死産)된, 유산된② 효과가 없는, 빛을 보지 못한, 무익한사산아"
DAY 20,clutter,"어질러놓다, 어지럽히다잡동사니; 어수선함, 혼란"
DAY 20,premium,"① 할증금; 할증가격; 프리미엄② 상금; 포상금, 상여③ 보험료; 수수료; 사례금"
DAY 20,heinous,"악랄한, 극악[흉악]한, 가증스런"
DAY 20,deluge,"① 대홍수② 쇄도, 범람① 쇄도하다② 물에 잠기게 하다, 범람시키다"
DAY 20,extenuate,"① (죄·과실을) 가볍게 하다, 경감하다, 정상을 참작하다② 변명하다, ~의 구실이 되다"
DAY 20,tropic,"열대 지방의, 열대성의, 열대 지방 특유의① <천문> (때로 T~) 회귀선(回歸線)② (the ~s) 열대 지방"
DAY 21,wane,"① 약해지다, 쇠퇴하다② (달이) 이지러지다쇠퇴, 감퇴"
DAY 21,individuality,"개성, 특성, 인격"
DAY 21,exhilarating,"기분을 돋우어 주는, 유쾌하게 하는; 상쾌한"
DAY 21,detergent,세제
DAY 21,recipient,"수령인, 수취인받아들이는, 감수성[수용성]이 있는"
DAY 21,compatible,"① 양립할 수 있는, 모순되지 않는, 조화되는, 적합한 ② (특히 컴퓨터가) 호환되는"
DAY 21,squat,"① 웅크리다 ② 불법 거주하다, 무단 점유하다 ① 웅크린 ② 땅딸막한① 웅크리기; 웅크린 자세 ② 불법 거주 건물, 무단 점유 건물"
DAY 21,horizon,"① 수평선, 지평선② 시계, 시야③ (학식·사고력 등의) 범위, 영역"
DAY 21,incessant,"끊임없는, 부단한"
DAY 21,mastermind,"(머리가 좋은) 기안자, 지도자, 주모자(배후에서) 지휘[조종]하다"
DAY 21,garish,"지나치게 화려한, 야한"
DAY 21,impoverish,"① 빈곤하게 하다② (질을) 떨어뜨리다, 저하시키다"
DAY 21,seasoned,"① 조미된, 맛을 낸② 경험 많은, 노련한"
DAY 21,penal,"형(刑)의, 형벌의; 형법상의, 형사상의"
DAY 21,deputy,"대리(인);부관;대표자,대의원"
DAY 21,persuade,"설득하다, 권유하여 ~하게 하다"
DAY 21,onlooker,"구경꾼, 방관자"
DAY 21,amend,"① (의안 등을) 수정하다, 개정하다, 정정하다② (행실·잘못 등을) 고치다, 바로잡다"
DAY 21,sojourn,"체류머무르다, 살다, 체류하다"
DAY 21,philanthropy,"① 박애(주의), 자선, 인자, 인류애② 자선활동, 자선단체"
DAY 21,lissome,"(몸이) 호리호리한, 유연한, 날씬한"
DAY 21,marital,"결혼의, 혼인의, 부부간의"
DAY 21,bolster,"① 북돋우다, 강화하다, 개선하다② (학설·운동 등을) 지지하다; 보강하다"
DAY 21,stale,"① 신선하지 않은, 상한; 김빠진② 퀴퀴한, 고약한 냄새가 나는③ (생각·표현 등이) 케케묵은, 흔해빠진, 진부한"
DAY 21,cosmic,"① 우주의② 무한한, 광대무변한, 장대한③ 질서 있는, 정연한"
DAY 21,deplore,"슬퍼하다, 한탄[개탄]하다"
DAY 21,tonic,"강장제, 활기를 돋우는 것"
DAY 21,preferable,"(~보다) 차라리 나은, 오히려 더 나은, 바람직한[to]"
DAY 21,veto,(제안․의안 등을) 거부[부인]하다① 거부권② 금지
DAY 21,agile,"① 날렵한, 민첩한② (생각이) 재빠른, 기민한"
DAY 21,fealty,"① (영주·군주에 대한) 충성, 충성의 맹세[의무]② 충실, 충성, 성실"
DAY 21,threaten,"① 위협[협박]하다② (나쁜 일이 있을) 조짐을 보이다, 임박하다"
DAY 21,aphorism,"금언, 격언, 경구"
DAY 21,concentration,"① (노력·정신 등의) 집중, 전념② <화학> 농도"
DAY 21,ungainly,"우아하지 않은, 보기 흉한, 어색한"
DAY 21,shortcoming,"결점, 단점"
DAY 21,remark,"① 발언, 말, 논평, 언급② 주의, 주목① 언급하다, 말하다, 논평하다, 발언하다② 알아채다, 깨닫다, 눈치 채다"
DAY 21,mountebank,"① 엉터리 약장수, 돌팔이 의사② 사기꾼, 협잡꾼"
DAY 21,debunk,(생각·믿음 등이) 틀렸음을 밝혀내다; (정체를) 폭로하다; 헐뜯다
DAY 21,quality,"① 질, 품질; 성질, 특성, 속성, 자질② 양질, 우수성; 재능양질의, 고급의"
DAY 21,affiance,<보통 수동태 또는 재귀용법> 약혼시키다[to]① 약혼② 서약
DAY 21,testy,"화[짜증]를 잘 내는, 성미가 급한"
DAY 21,encounter,"만나다, 부닥치다(우연히) 만남, 조우"
DAY 21,vendetta,"피의 복수, 앙갚음, 복수"
DAY 21,classify,"① 분류[구분]하다, 등급별로 나누다② (정보·문서 등을) 기밀 취급하다"
DAY 21,fatuous,"어리석은, 얼빠진"
DAY 21,palliate,"① (고통 따위를) 일시적으로 완화시키다② (과실·죄 따위를) 가볍게 하다, 참작하다"
DAY 21,extemporaneous,"① (연설·연주 등이) 즉흥적인, 즉석의, 준비 없이 하는② 일시적인, 임시변통의"
DAY 21,bastard,"① 서자, 사생아② (동식물의) 잡종; 가짜; 열등[조악]품③ <미국속어·경멸적> 자식, 새끼; 놈, 녀석① 서출의, 사생아의; 잡종의② 가짜의, 모조[위조]의"
DAY 21,sponsor,"①  스폰서, 광고주; 후원자② 주창자③ 보증인, 보증 책임자① (방송·행사 등을) 후원하다, 지원하다② 주관[주최]하다③ 발의하다"
DAY 22,obsolete,"더 이상 쓸모가 없는, 한물간, 구식의"
DAY 22,perspicacious,"이해가 빠른, 총명한, 통찰력[선견지명]이 있는 "
DAY 22,enamor,"<보통 수동태> 반하게 하다, 매혹하다[of, with] "
DAY 22,heretic,"이교도, 이단자"
DAY 22,impatient,"① 성급한, 성마른, 안달하는② 몹시 ~하고 싶어 하는"
DAY 22,salute,"~에게 (특히 깍듯하게) 인사하다, ~에 경례하다; 맞이하다인사, 경례; 갈채"
DAY 22,mawkish,① 몹시 감상적인② 역겨운
DAY 22,pamphlet,"① (가제본한) 팸플릿, 소책자② 시사 논문[논평], 소논문"
DAY 22,deflect,① (특히 무엇에 맞고 난 뒤) 방향을 바꾸다[바꾸게 하다]② (관심·비판 등을) 피하다[모면하다]
DAY 22,outdated,"구식인, 시대에 뒤진 = antiquated, obsolete, old-fashioned, out of date"
DAY 22,tally,"계산서, 장부, 득점표; 계정, 계산; 기록① 부합[일치]하다[with]② (득점 등을) 기록하다③ 계산하다, 합계하다[up]"
DAY 22,inflate,"① 부풀리다[부풀다], 팽창시키다② (말·의견·생각 등을) 과장하다③(통화를) 팽창시키다, (물가를) 올리다"
DAY 22,commensurate,(크기·중요도·자질 등에) 어울리는[상응하는]
DAY 22,smut,"① 검댕, 얼룩; 오점② 음담; 음란, 외설물"
DAY 22,baffle,① 당황하게 하다② 좌절시키다
DAY 22,transparent,"① 투명한② 명백한, 명료한"
DAY 22,sob,"① 흐느끼다, 흐느껴 울다 ② 윙윙 소리 내다 흐느껴 울기 ① 흐느낌 ① 눈물 나게 하는"
DAY 22,maelstrom,"큰 소용돌이; 대혼란, 큰 동요"
DAY 22,larceny,"절도죄, 도둑질"
DAY 22,recur,"① 재발하다, 되풀이하다② 되돌아가다; (생각·기억 등이) 되살아나다[to]"
DAY 22,yearn,"① 동경하다, 갈망하다② 그리다, 사모하다"
DAY 22,pastoral,"전원생활의, 목가적인목가, 전원시"
DAY 22,gateway,"① (문으로 여닫게 된) 입구, 통로② ~에 이르는 길, 수단[to]"
DAY 22,hasten,"서두르다, 재촉하다, 촉진하다"
DAY 22,ailment,(가벼운) 병(病)
DAY 22,dreary,"① 황량한; 쓸쓸한; 음산한② 따분한, 지루한"
DAY 22,titanic,"거대한, 엄청난"
DAY 22,affect,"① 영향을 미치다② 침범하다③ 감동시키다④ ~인 체하다, 가장하다"
DAY 22,felicity,"① 더없는 행복② (표현의) 멋들어짐, 적절함; 적절한 표현"
DAY 22,construct,"① 조립하다; 세우다, 건설[건조, 축조]하다② (기계·이론 등을) 꾸미다, 구성하다, 연구하다"
DAY 22,envy,"① 부러움, 선망; 질투, 시기② 선망의 대상, 부러워하는 것부러워하다, 선망하다; 시기하다, 질투하다"
DAY 22,anadromous,"소하성(溯河性)의, (연어 등이 산란을 위해) 강을 거슬러 올라가는"
DAY 22,devout,"독실한, 경건한"
DAY 22,uncharted,"미지의, 지도에 실려 있지 않은"
