day,word,meaning
DAY 02,adjustment,"① (약간의) 수정, 조정② 적응=adaptation"
DAY 02,measure,"①  측정하다, 재다② (중요성·가치·영향 등을) 판단하다, 평가하다①  조치[정책]②  기준, 척도③ (치수·양·정도를 나타내는) 단위; 도량법"
DAY 02,rhyme,"① 운, 압운(押韻), 각운(脚韻)② (pl.) 운문, 시"
DAY 02,shorten,"① 짧게 하다, 줄이다, 단축하다; 짧아지다② 생략하다"
DAY 02,iconoclastic,우상 파괴적인; 인습 타파의
DAY 02,probation,"① 검정(檢定), 시험, 심사② (직장에서의) 수습 (기간)③ 보호 관찰 (기간), 판결[집행] 유예, 가석방④ (처벌 학생의) 근신 (기간)"
DAY 02,bewitch,"매혹하다, 황홀케 하다; 마법을 걸다"
DAY 02,competition,"① 경쟁② (경연) 대회, 시합③ 경쟁자, 경쟁 상대"
DAY 02,dignity,"존엄, 위엄; 품위; (태도·말 등의) 무게, 장중함"
DAY 02,miscellaneous,"여러 가지 종류의, 이것저것 잡다한"
DAY 02,accidental,"① 우연한, 돌발적인, 뜻밖의② 비본질적인, 종속적인, 부수적인"
DAY 02,peruse,"① 숙독하다, 정독하다② (안색·마음 등을) 살피다[읽다]"
DAY 02,cache,"은닉처, 숨겨두는 장소(은닉처에) 저장하다, 숨기다"
DAY 02,abase,① (지위·품격 등을) 떨어뜨리다② 창피를 주다
DAY 02,efface,"지우다, 삭제하다, 말살하다"
DAY 02,float,"뜨다[띄우다]; 떠다니다, 표류하다"
DAY 02,ponderous,"① 크고 무거운, 육중한② (이야기·문체 등이) 지루한, 답답한, 장황한"
DAY 02,aspiration,"열망, 포부"
DAY 02,certify,증명[보증]하다; 공인하다
DAY 02,hygienic,위생적인; 보건상의; 위생학의
DAY 02,spank,(아동에 대한 체벌로 엉덩이 등을) 찰싹 때리다손바닥으로 때리기
DAY 02,facade,"① (건물의) 정면, 앞면② (사물의) 표면, 겉모양; 겉치레"
DAY 02,inquire,"묻다, 문의하다; 조사하다[into]"
DAY 02,dolorous,"슬픈, 비통한"
DAY 02,offense,"① 위반, 위법 행위, 범죄② 화를 냄, 기분 상함; 모욕; 기분을 상하게 하는 것③ 공격"
DAY 02,embryo,"① (보통 임신 8주까지의) 태아② 배(胚), 눈; 싹③ (발달의) 초기"
DAY 03,cogent,설득력 있는
DAY 03,earmark,"(자금·물건 등을 특정한 용도에) 배당[할당, 책정]하다기호; 특징"
DAY 03,pacific,"평화로운, 평온한, 태평한; (바다 따위가) 잔잔한(the P~) 태평양(Pacific Ocean)"
DAY 03,sack,"① 해고하다② (점령군이 도시를) 약탈하다, 노략질하다① 부대, 마대, 자루② 해고, 파면③ (점령지의) 약탈, 강탈"
DAY 03,tactile,촉각의; 감촉할[만져서 알] 수 있는
DAY 03,jealous,"① 질투하는, 시기[시샘]하는② (자기가 자랑스럽게 여기는 것을) 지키려고 애쓰는[경계하는]"
DAY 03,abandon,"① (사람·집·고향 등을) 버리다② (습관·일·계획 등을) 단념하다, 그만두다"
DAY 03,factotum,"잡역부, 막일꾼"
DAY 03,mediate,"조정[중재]하다, 화해시키다"
DAY 03,wayward,"① 제멋대로인; 고집 센② 변덕스러운, 불규칙적인"
DAY 03,thrift ,"검소, 절약"
DAY 03,diffuse,"① 흩뜨리다, (빛·열 따위를) 발산하다, 퍼뜨리다② (지식·소문 따위를) 퍼뜨리다, 유포하다; 흩어지다, 퍼지다"
DAY 03,effeminate,"여성적인, 사내답지 못한, 나약한, 유약한"
DAY 03,vane,"(풍차·터빈·추진기 등의) 날개; 풍향계, 바람개비"
DAY 03,peep,"① 엿보다, 슬쩍 들여다보다[at, into, through]② (성질 등이) 모르는 사이에 나타나다, (본바탕 등이) 드러나다[out] "
DAY 03,negotiation,"협상, 교섭, 절충"
DAY 03,scandalous,"소문이 나쁜, 수치스러운; 중상적인"
DAY 03,hype,"① 과대광고[선전]; 속임(수)② 마약 주사; 마약 중독자① 과대선전하다, 강매하다② (마약 주사로) 흥분시키다, 기력을 북돋우다"
DAY 03,perspective,"① 견해, 관점, 시각② 원근법, 투시화법"
DAY 03,realize,"① 깨닫다, 알아차리다, 인식[자각]하다② 실현[달성]하다③ 여실히 보여주다, 실감나게 그리다, 사실적으로 묘사하다④현금으로 바꾸다; (재산·이익을) 얻다, (돈을) 벌다"
DAY 03,acerbic,"① (맛이) 신, 떫은② (기질·태도·표현 등이) 거친, 표독한, 신랄한 "
DAY 03,cease,"그만두다, 그치다, 중지하다중지, 정지"
DAY 03,sect,"분파, 종파; 교파; 당파; (철학 등의) 학파"
DAY 03,itinerary,"여정, 여행 계획[일정표]여행의; 순회하는"
DAY 03,predicate,"① 단언하다; 진술하다, 서술하다② (판단·행동 등을 어떤 근거에) 입각시키다, 기초를 두다[on, upon] <문법> 술부, 술어"
DAY 03,shabby,"초라한, 허름한; 낡아빠진, 누더기의"
DAY 03,ennui,"권태, 지루함"
DAY 03,boorish,"(사람이나 행동이) 촌스러운, 상스러운, 천박한"
DAY 03,adversary,"적(敵), 적수, 상대"
DAY 03,damp,"축축한, 습기 있는"
DAY 03,complain,"① 불평하다, 불만을 제기하다, 투덜거리다② (고통·병의 상태를) 호소하다[of]"
DAY 03,sinecure,"(명예 또는 수입이 있는) 한직, 명예직"
DAY 03,imperative,"명령; 의무, 필요, 요구피할 수 없는, 긴급한, 필수적인"
DAY 03,magnanimous,"도량이 넓은, 관대한, 아량 있는"
DAY 03,legerdemain,"① 요술, 마술; 날랜 손재주② 속임수"
DAY 03,solidify,"① 공고히 하다, 강화하다② 고체화하다, 응고시키다"
DAY 03,ambivalent,"반대 감정이 병존하는, 애증이 엇갈리는; 불확실한"
DAY 03,flagrant,"① (거짓·잘못 등이) 명백한, 노골적인② 악명 높은, 극악(무도)한"
DAY 03,architect,"① 건축가, 건축 기사② (사상·행사 등의) 설계자, 기획자, 창조자, 개척자③ (the (Great) A~) 조물주, 신설계하다, 구성하다"
DAY 03,detail,"① (작고 덜 중요한) 세부사항② (무엇에 대한) 정보[사항]① 자세히 말하다, 상세히 설명하다② <군사> (군인 등을 특별한 임무에) 파견하다"
DAY 03,poignant,"마음 아픈, 통렬한; 신랄한; 통쾌한"
DAY 03,decadence,"① 타락, 퇴폐; 쇠퇴② (문학·예술의) 쇠퇴기; 데카당스(19세기 말의 허무적·탐미적 문예 사조)"
DAY 03,belie,"① 거짓[잘못] 전하다, 속이다② 거짓[잘못]임을 나타내다"
DAY 03,respite,"① (곤경·불쾌한 일의) 일시적인 중단, 한숨 돌리기② (힘들거나 불쾌한 일의) 유예[연기]"
DAY 03,hefty,"① 장대한, 크고 무거운② (돈의 액수가) 많은, 두둑한"
DAY 03,minority,① 소수; 소수파; 소수 민족[집단]② 미성년(기)
DAY 03,cabal,"① 음모, 권모술수② 비밀결사; 도당, (문학·예술계의) 파벌"
DAY 03,inflict,"(고통·타격·형벌 등을) 주다, 입히다, 가하다, 과하다"
DAY 03,doctrine,"① 교의, 교리② 주의; (정치·종교·학문상의) 신조, 학설"
DAY 03,outdistance,"(경주·경마 등에서) 훨씬 앞서다, 능가하다"
DAY 04,facilitate,(행위 따위를) 용이하게 하다; 촉진하다
DAY 04,salubrious,"(기후·장소·음식물 등이) 몸에 좋은, 건강에 좋은"
DAY 04,quack,돌팔이[가짜] 의사; 사기꾼
DAY 04,hackneyed,"진부한, 흔해빠진"
DAY 04,thorough,"① 완전한, 전적인, 진짜의② 빈틈없는, 철저한, 철두철미한, 꼼꼼한, 세심한② (예술가 등이) 충분히 숙달한, 더할 나위 없는"
DAY 04,pant,"① 헐떡거리다, 숨차다; 몹시 두근거리다② 갈망[열망]하다, 그리워하다[for, after]"
DAY 04,veracious,"정직한, 진실을 말하는; 진실한, 정말인"
DAY 04,bilateral,"쌍방의, 쌍무적인"
DAY 04,emaciated,"야윈, 수척한"
DAY 04,mushroom,"버섯(버섯처럼) 급성장하는; 갑자기 출세한빨리 성장[발전]하다, 급격히 퍼지다"
DAY 04,penchant,"경향, 애호, 취미[for]"
DAY 04,scowl,"① 얼굴을 찌푸리다; 노려보다[at, on, into]② (날씨가) 험악해[거칠어]지다찌푸린 얼굴; 찌푸린 날씨"
DAY 04,ignoble,"(성품이) 비열한, 야비한; (태생·신분이) 비천한"
DAY 04,undo,"① (일단 해버린 것을) 원상태로 돌리다, 취소하다② 파멸로 이끌다, 망하게 하다, 몰락하게 하다③ (잠기거나 묶인 것을) 풀다[열다, 끄르다]"
DAY 04,mellow,"①  익은, 감미로운; (포도주가) 향기로운, 잘 빚어진② (가락·소리·빛깔·문체 등이) 부드럽고 아름다운③ (사람·기질이) 원숙한, 원만한, 온화한"
DAY 04,sediment,"앙금, 침전물; 퇴적물"
DAY 04,consecutive,"연속적인, 계속되는"
DAY 04,pitfall,"① (사람·동물 등을 잡는) 함정② <비유> 생각지 않은 위험, 함정, 곤란"
DAY 04,obdurate,"고집 센, 완고한"
